Serving HTTP on 0.0.0.0 port 80 ...
Traceback (most recent call last):
  File "/usr/lib/python2.7/runpy.py", line 174, in _run_module_as_main
    "__main__", fname, loader, pkg_name)
  File "/usr/lib/python2.7/runpy.py", line 72, in _run_code
    exec code in run_globals
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 235, in <module>
    test()
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 231, in test
    BaseHTTPServer.test(HandlerClass, ServerClass)
  File "/usr/lib/python2.7/BaseHTTPServer.py", line 610, in test
    httpd.serve_forever()
  File "/usr/lib/python2.7/SocketServer.py", line 231, in serve_forever
    poll_interval)
  File "/usr/lib/python2.7/SocketServer.py", line 150, in _eintr_retry
    return func(*args)
KeyboardInterrupt
76.252.188.94 - - [03/Nov/2017 07:48:57] "GET / HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:48:59] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:17] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:17] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:17] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:18] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:18] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:49:19] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:01] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:01] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:03] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:26] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:27] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:29] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:30] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:46] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p3.jpg HTTP/1.1" 200 -
